,Package,DownloadRank,Percentile,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,trend,up_down
1,GenomeInfoDbData,1/927,0.11,410210,450724,395508,569634,393280,257464,163078,127305,54180,NA,NA,NA,NA,NA,NA,NA,NA,52856.7833333333,Upward
2,GO.db,2/927,0.22,191590,195168,169853,157877,136133,123496,85838,71842,55339,43226,36482,29544,20632,19421,28959,28432,24718,12036.6666666659,Upward
3,org.Hs.eg.db,3/927,0.32,164793,165277,140726,140305,125056,114991,77484,62590,49839,43323,37463,36465,34796,20449,28287,25430,8682,10288.3774509798,Upward
4,org.Mm.eg.db,4/927,0.43,69065,69686,62642,56619,46437,39525,30819,26387,18860,13777,10841,13795,7656,6018,5868,4847,3036,4560.37745098012,Upward
5,HDO.db,5/927,0.54,44214,103244,106965,15507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8240,Upward
6,TxDb.Hsapiens.UCSC.hg19.knownGene,6/927,0.65,32865,41830,40888,39545,35664,33388,26724,23522,20103,18142,13704,8091,5039,2962,548,NA,NA,3098.14642857121,Upward
7,BSgenome.Hsapiens.UCSC.hg38,7/927,0.76,34978,34071,28324,19678,13630,11311,7688,4444,2923,1424,633,NA,NA,NA,NA,NA,NA,3772.05454545468,Upward
8,reactome.db,8/927,0.86,31289,31812,25955,22089,18522,15814,11904,8928,6480,4783,3521,3940,2845,1655,224,NA,NA,2353.6857142855,Upward
9,EnsDb.Hsapiens.v86,9/927,0.97,19852,26646,20745,12944,10488,7871,4785,3219,1073,46,NA,NA,NA,NA,NA,NA,NA,2860.53939393937,Upward
10,TxDb.Hsapiens.UCSC.hg38.knownGene,10/927,1.08,18807,21861,20844,16901,12906,11779,8103,6025,4340,2801,1411,115,NA,NA,NA,NA,NA,2108.69580419603,Upward
11,org.Rn.eg.db,11/927,1.19,18926,15224,13528,9973,10345,8636,7939,8358,5939,4697,3666,7520,3330,3567,3379,3054,2035,874.649509803874,Upward
12,BSgenome.Hsapiens.UCSC.hg19,12/927,1.29,15664,25436,25571,25231,21646,21354,15470,14553,13004,12020,11282,11086,5988,4080,3193,1697,200,1554.5416666666,Upward
13,hgu133plus2.db,13/927,1.4,16824,18764,16156,13377,13515,13632,11097,11399,10294,9677,9256,9526,7564,6304,5990,5181,3719,827.96078431369,Upward
14,BSgenome.Mmusculus.UCSC.mm10,14/927,1.51,18430,10842,10372,9768,8315,6259,4192,4207,3142,2412,1837,1526,1020,358,NA,NA,NA,1136.17582417589,Upward
15,JASPAR2020,15/927,1.62,12646,16378,8744,3502,2512,707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3043.85714285749,Upward
16,IlluminaHumanMethylation450kanno.ilmn12.hg19,16/927,1.73,10653,14268,12148,10705,12028,9715,8470,8324,6750,5413,4648,2477,361,NA,NA,NA,NA,980.934065934075,Upward
17,TxDb.Mmusculus.UCSC.mm10.knownGene,17/927,1.83,10084,12989,12759,12603,12089,11113,9160,8190,5946,3724,2063,1056,467,31,NA,NA,NA,1111.72307692313,Upward
18,FDb.InfiniumMethylation.hg19,18/927,1.94,8870,13867,12506,11553,12065,11154,9645,8620,7855,7080,5103,1636,796,89,NA,NA,NA,959.914285714317,Upward
19,DO.db,19/927,2.05,8723,15574,28101,90878,77434,64181,38520,26065,15472,7605,4700,3726,2477,1661,415,48,NA,3426.97058823529,Upward
20,IlluminaHumanMethylationEPICanno.ilm10b4.hg19,20/927,2.16,8468,11677,9915,8505,8791,7399,5707,1585,38,NA,NA,NA,NA,NA,NA,NA,NA,1225.3,Upward
21,IlluminaHumanMethylation450kmanifest,21/927,2.27,8595,12231,10597,9471,9605,8982,7779,7579,5430,5049,4760,4393,1659,260,NA,NA,NA,762.848351648374,Upward
22,IlluminaHumanMethylationEPICmanifest,22/927,2.37,7950,11188,9792,8737,8899,7741,6662,6070,3780,1218,NA,NA,NA,NA,NA,NA,NA,839.012121212119,Upward
